label,label_name,pH,fat,SNF,protein,lactose,density,conductivity,refractiveIndex,turbidity,temperature,color_L,color_a,color_b,tvc_log
0,Pure,6.739134390160525,4.1284754956740235,8.612867555396654,3.3888290342174514,4.963150897330413,1.0326024734362824,4.812017367238017,1.3419905650214667,14.316687062629097,4.0299920339381226,89.92083083587079,-1.8939116432742777,7.586387136580183,5.142743665259908
4,StarchAdded,6.673647630345699,3.9804925214460267,10.302973929679867,3.1126358653739166,4.7415208338535395,1.0361981170373689,4.637944259525031,1.3430713395274423,25.032875669597484,4.9521162019534435,90.94843867166416,-3.624695334922378,7.380664011549141,4.725702052306906
0,Pure,6.707244530615511,4.33896633445884,8.979499790060428,3.379074736237133,4.737464566069344,1.0312040110899914,4.425307903415797,1.3426570647482254,14.05175111663108,4.657169341565715,91.15872520055062,-1.966728227491927,8.526235975071184,4.131202967391543
4,StarchAdded,6.757874223122198,3.657179833835615,10.461589213399,3.2049633664489656,4.627773107906587,1.0344289692361144,4.6319096501655075,1.3453003368696106,31.578942055850508,4.257219600847114,93.7451431468913,-3.3150856676884723,6.766192633159987,4.04994783210781
3,DetergentAdded,8.037625923371262,3.9459994924818798,8.34747316757633,2.425279186897416,5.004489673609099,1.0283486110375097,8.29258233422357,1.340320806182698,34.59465921447252,4.73926959305079,84.56685223894796,-3.0853089353027885,4.508819376686759,4.6574116984864276
0,Pure,6.7285800158650835,4.348910146624738,8.409907157061236,3.290457728771604,4.799279492181886,1.0308416353108074,4.951019490530145,1.342938681145288,14.337107478511008,4.513442919497265,90.81257421192133,-3.116693947369716,7.302258093983522,3.82720630080088
2,UreaAdded,7.24451292962763,3.795622807773211,9.066024862948005,3.42516354735458,4.576710994786654,1.0327076828542308,6.700519989138194,1.3430279603304616,9.830525534854385,4.432364729647868,89.32077687045613,-2.40835365984996,8.331748909562231,5.123577971454543
0,Pure,6.555108347917517,4.811577119270446,8.979657469278115,3.2526889425562104,5.027124029436589,1.0308937064875885,4.2526457515416975,1.3421957051383802,13.413066875807955,3.9717211786198736,92.33462460064298,-2.4035417601479323,7.782003974685503,3.8718594534345274
0,Pure,6.39704399223057,4.0961873893255705,8.772396580475034,3.0697971832760986,4.877264663562312,1.031795528779014,5.026642709494647,1.3432865098626074,13.602583292645512,4.424581144216653,90.38907865158741,-2.480663790463849,7.656019987222502,3.7966871724449636
1,WaterAdded,6.757561693414214,2.890930362729276,7.083783890266496,2.1801559649949223,3.564338980240265,1.0238072307273702,3.69494791742544,1.3378453652630482,11.208386443220514,4.543026657944114,90.28108055310396,-1.6603134147129395,5.695332166244344,4.8102504495495815
